"","ICD9CM.1","Age","pm2p5","pm2p5_5","pm2p5_10","n"
"1","",NA,15.3014702327946,15.3756652028364,15.4519859838116,9096
"2","  260",24,4.46925,7.8881,13.322425,1
"3","  3830",66,5.11,7.85325,23.743,1
"4","  419",45,10.68125,12.3467,10.1174,1
"5","  48",29,6.3425,8.0162,11.140925,1
"6","  593",23,4.158625,9.139475,26.6768625,1
"7","  706",1,22.6375,8.82725,7.2220125,1
"8","  7804",24,9.88625,16.36225,23.943625,1
"9","  7806",80.5,10.13875,8.1412125,11.95484375,2
"10","  784",20,6.223875,9.814275,10.8648625,1
"11","  7852",34,15.67,11.596375,18.3353125,1
"12","  786",24.1666666666667,7.07204166666667,11.6368833333333,14.8040541666667,6
"13","  8659",24.7142857142857,32.9178571428571,20.1281107142857,18.4805117857143,7
"14","  9751",68,11.60625,10.07775,11.2904125,1
"15","  9904",14,6.8375,10.65675,17.1155,1
"16","  9921",9.96153846153846,26.1159278846154,24.1663525,21.0996901923077,26
"17","  9953",52,3.53275,7.005825,7.4967375,1
"18"," 0020",37,13.828125,13.0413325,13.3362475,2
"19"," 0030",0,9.30625,15.15125,13.4094125,1
"20"," 0059",28.5537190082645,18.7120419421488,16.8494989256198,18.0919950413223,121
"21"," 00845",43.6666666666667,15.0579166666667,14.5297166666667,13.7436483333333,3
"22"," 0085",14.5,27.3221875,18.148828125,16.3290234375,4
"23"," 0088",12.6343612334802,13.4858656387665,14.1453292511013,14.3368615363436,227
"24"," 0092",32.92,13.114219,13.0411531,13.37984215,50
"25"," 01190",0,45.7875,47.145,36.991875,1
"26"," 0239",25,15.385625,13.7590125,12.76554,2
"27"," 0339",17,13.69,16.686,14.0100375,1
"28"," 0340",21.8333333333333,11.3002083333333,12.0872479166667,13.127021875,6
"29"," 0341",3,15.0229166666667,15.7313533333333,25.3691766666667,3
"30"," 035",60.5,11.888125,12.68143125,16.77773125,4
"31"," 037",21,4.158625,9.139475,26.6768625,1
"32"," 04110",39,20.9375,43.2775,38.83875,1
"33"," 0527",5,16.3625,14.93775,11.5989375,1
"34"," 0529",17.3529411764706,10.1147867647059,13.6512395588235,16.1043429411765,17
"35"," 05319",76,10.3200625,13.3776875,16.262225,2
"36"," 0539",40.6363636363636,17.3016676136364,15.8715180681818,15.9296073295455,22
"37"," 05412",24,1.5875,9.2727,11.38405,1
"38"," 0542",8,13.136875,11.52456125,12.360530625,2
"39"," 05440",60,36.39625,11.1043,10.880525,1
"40"," 05443",37.1428571428571,22.4862928571429,16.3293314285714,16.5846603571429,7
"41"," 0549",28,14.4333125,19.00721875,16.78461484375,8
"42"," 0569",49,32.075,22.8415,19.601875,1
"43"," 0578",1,17.4941666666667,11.029925,13.214955,3
"44"," 0579",7.6,12.79,13.74434,13.23543975,5
"45"," 05919",31,4.60075,8.45865,9.9631,1
"46"," 0701",24,5.408875,13.302275,11.7736425,1
"47"," 0729",2.5,24.025625,12.6315,19.6513125,2
"48"," 0743",2.6,10.05525,10.4487645,12.2576695,5
"49"," 075",22,9.955,21.776,17.4713875,1
"50"," 0771",33.5,16.530625,18.5407875,14.40514375,2
"51"," 0774",64,7.6625,10.824,19.715,1
"52"," 0778",28,17.60625,15.3353,16.408825,1
"53"," 07799",28.8174603174603,16.4697446428571,16.1168918650794,16.1725342559524,126
"54"," 07810",31.5,34.8025,26.8844,18.72245,2
"55"," 0785",5,5.4625,8.0843375,12.60341875,1
"56"," 0790",2,29.5625,31.1335,21.77175,1
"57"," 0799",19,7.3975,14.889825,9.777525,1
"58"," 07999",15.1961165048544,14.3727612864078,14.6590317572816,14.4290218446602,515
"59"," 0846",38,12.535,14.21875,14.2025375,1
"60"," 0980",22,14.7786375,29.9707275,22.10935125,1
"61"," 1101",43,10.46375,10.161125,10.05230625,2
"62"," 1118",20,10.92375,5.682025,6.2453375,1
"63"," 1120",16,26.371875,39.56325,25.063,2
"64"," 1121",31,15.454625,11.1895833333333,16.2482833333333,3
"65"," 11284",40,6.223875,9.814275,10.8648625,1
"66"," 1279",25,11.121625,5.19255,8.253025,1
"67"," 1322",19,6.58375,8.29075,9.102025,1
"68"," 1629",58,3.793375,6.70065,19.51245,1
"69"," 1919",48,26.9,29.5435,25.302375,1
"70"," 1940",5,16.7,15.45351,10.06978,1
"71"," 20280",71,5.38875,8.39425,9.236,1
"72"," 2180",45,20.525,13.166775,15.2148875,1
"73"," 2189",46,0.298125,4.665225,7.7446125,1
"74"," 2391",61,8.8525,13.46995,9.804025,1
"75"," 2410",52,15.0375,14.61225,10.8868125,1
"76"," 2451",32,43.9375,44.43,33.63575,1
"77"," 2459",44,6.664875,8.67475,10.4510625,1
"78"," 25000",51,17.753125,22.8849375,18.0826,4
"79"," 25001",17.6666666666667,13.9232958333333,19.5955591666667,15.2661379166667,3
"80"," 25002",69.8333333333333,11.3647916666667,11.48875,11.6181020833333,6
"81"," 25003",30,14.371875,8.2297675,7.008043125,2
"82"," 25060",75,9.17875,12.68575,9.6126775,1
"83"," 25062",68,3.767,8.335175,8.8096875,1
"84"," 2508",70,8.825,9.5525,10.834375,1
"85"," 25080",61.1428571428571,14.6071428571429,12.88611,14.4755817857143,7
"86"," 25081",16,5.771875,9.7014375,9.6009125,2
"87"," 25082",46,6.63125,35.255,23.42925,1
"88"," 2510",71,29.75,28.606,23.559625,1
"89"," 2512",57.4375,13.1326953125,13.8262721875,12.347510703125,16
"90"," 2550",55,10.34375,11.17025,27.36425,1
"91"," 2554",76,10.12125,23.57425,21.290625,1
"92"," 2561",28,8.934375,10.0067625,14.90781875,2
"93"," 2564",19,0.404875,9.941475,11.1440875,1
"94"," 2704",16,8.4575,6.315025,7.19968125,1
"95"," 2730",15,3.793375,6.70065,19.51245,1
"96"," 2740",64.75,5.630746875,8.408324375,9.8744184375,4
"97"," 2749",57,8.286375,10.278259375,11.6642328125,8
"98"," 27541",49,13.475,10.509125,13.4891875,1
"99"," 27549",64.6666666666667,14.5041666666667,26.6411083333333,22.3968458333333,3
"100"," 2761",69.8,33.578625,18.87048,15.5568675,5
"101"," 27650",40.75,22.75125,19.669,17.590665625,4
"102"," 27651",39.88,16.045295,14.2880072,13.3267846,25
"103"," 2766",61,6.664875,8.67475,10.4510625,1
"104"," 2767",61,17.4865625,15.3887583333333,13.7605,6
"105"," 2768",34,4.3245,7.98765,7.5891625,1
"106"," 27731",31.6666666666667,10.449625,15.5060694444444,14.3902583333333,9
"107"," 2774",0,9.17875,12.68575,9.6126775,1
"108"," 2800",67,24.7125,23.89,17.6457625,1
"109"," 2809",22,12.65125,15.63,15.283875,1
"110"," 28241",29,14.828125,7.10415,8.188425,1
"111"," 28249",4,41.45,20.41925,16.8607625,1
"112"," 2826",39,8.825,9.5525,10.834375,1
"113"," 28260",5.85714285714286,9.34648214285714,12.9952935714286,12.9970155357143,14
"114"," 28262",16.5806451612903,14.3748512096774,16.5308304032258,16.2732312903226,62
"115"," 2829",9,4.8375,6.3352,10.460975,1
"116"," 2841",14,17.8875,28.297975,34.1714875,1
"117"," 2849",50,13.6789375,16.9766875,16.61936875,2
"118"," 28522",8.33333333333333,10.4233333333333,16.8568416666667,15.4939208333333,3
"119"," 2859",49.8181818181818,17.6377659090909,16.4039240909091,14.731025,11
"120"," 2864",63,8.8975,24.04425,21.2185,1
"121"," 2870",40,5.4996875,15.2495625,13.272375,2
"122"," 2872",5,0.298125,4.665225,7.7446125,1
"123"," 28731",19,19.9125,18.00275,16.3484,1
"124"," 2874",11,8.8975,24.04425,21.2185,1
"125"," 2875",20.5,20.0227291666667,21.8649716666667,18.06974625,6
"126"," 28803",13.3522727272727,16.4598809659091,14.9652120738636,14.9368790767045,88
"127"," 28860",11,35.1125,17.05475,21.01125,1
"128"," 28862",27,5.055,6.455675,7.2982875,1
"129"," 2888",22.5,8.7325,9.165975,11.00575,2
"130"," 2892",12.4,8.15025,15.400215,15.113915,5
"131"," 2893",17,9.84190277777778,13.5280305555556,17.5683088888889,9
"132"," 29040",80,9.30625,15.15125,13.4094125,1
"133"," 29212",53,17.51125,13.5325,13.6995375,1
"134"," 29289",20,15.0375,14.61225,10.8868125,1
"135"," 2948",78,3.112625,23.819775,16.4122625,1
"136"," 2952",40,3.75625,6.214525,5.36655625,1
"137"," 29590",30,8.18125,15.195,12.66125,1
"138"," 2960",26,12.06,14.69405,15.746825,1
"139"," 29600",35,36.39625,11.1043,10.880525,1
"140"," 29620",21,29.29875,11.6954,9.8558,1
"141"," 29630",70,13.64875,29.00175,20.98975,1
"142"," 29680",38,11.6459166666667,13.6047,14.0825166666667,3
"143"," 29689",25,29.75,28.606,23.559625,1
"144"," 29690",17,38.884375,29.72515,22.3066,2
"145"," 2981",33.75,12.42503125,24.46800625,22.46760625,4
"146"," 2989",39.9166666666667,10.0742770833333,13.623289375,14.1779321875,12
"147"," 30000",36.5202702702703,15.7576147381757,16.2394775422297,15.9270429856419,296
"148"," 30001",31.9038461538462,16.7342945913462,17.1181200961538,16.9748202644231,104
"149"," 30011",30.9333333333333,11.95275,15.0231366666667,16.0419534166667,15
"150"," 3003",41.75,49.8625,22.5535625,19.32049375,4
"151"," 3004",51,9.61709807692308,14.4936003846154,13.8421109615385,13
"152"," 30081",34,4.07,10.0615,8.5336625,1
"153"," 30082",58.3333333333333,7.05620833333333,9.29338333333333,9.80811666666667,3
"154"," 3009",21.3333333333333,29.9745833333333,19.310475,16.5636458333333,3
"155"," 30183",50,15.08,7.493775,7.0113375,1
"156"," 3050",27.3333333333333,20.9170833333333,20.56335,21.6391875,3
"157"," 30500",25.1341463414634,17.5874818597561,15.7181113109756,15.5946870884146,82
"158"," 30520",17,0.404875,9.941475,11.1440875,2
"159"," 30560",21,14.62125,16.37225,15.49225,1
"160"," 30590",23,8.715,5.9051,7.181875,1
"161"," 3061",25.5,13.789375,11.862025,10.390775,2
"162"," 3064",31.3333333333333,17.2134583333333,9.071295,10.0656141666667,3
